gene,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
CRP,0.9011209540344228,0.0,4.7245638e-05,0.0,0.009900990099009901,0.00014543664191783115,0.0,0.0,0.0222995272500223
IGFBP2,0.8781431200211589,0.0,4.7245638e-05,0.0,0.009900990099009901,9.465005180660268e-05,0.0,0.0,0.0222995272500223
FGL1,0.7566955912853988,0.0,4.7245638e-05,0.0,0.009900990099009901,8.798176785521921e-05,0.0,0.0,0.0222995272500223
IGFBP1,0.7298681610181633,0.0,4.7245638e-05,0.0,0.009900990099009901,0.00011560498978634224,0.0,0.0,0.0222995272500223
MTRNR2L12,0.6018846579685148,0.0,4.7245638e-05,0.0,0.009900990099009901,7.574928893737821e-05,0.0,0.0,0.0222995272500223
GSTA1,0.5862231583752187,0.0,4.7245638e-05,0.0,0.009900990099009901,9.78401190616093e-05,0.0,0.0,0.0222995272500223
SCGB3A1,0.5624570503955085,0.0,4.7245638e-05,0.0,0.009900990099009901,7.978541898679012e-05,0.0,0.0,0.0222995272500223
SERPINE1,0.49719529501557364,0.0,4.7245638e-05,0.0,0.009900990099009901,9.128803243687287e-05,0.0,0.0,0.0222995272500223
GSTA2,0.49312633205584816,0.0,4.7245638e-05,0.0,0.009900990099009901,8.828249369208246e-05,0.0,0.0,0.0222995272500223
PTGDS,0.4695140347058357,0.0,4.7245638e-05,0.0,0.009900990099009901,9.260445992786882e-05,0.0,0.0,0.0222995272500223
MUC1,0.4537612397490629,0.0,4.7245638e-05,0.0,0.009900990099009901,5.382812288500188e-05,0.0,0.0,0.0222995272500223
CCL21,0.44358833947704396,0.0,4.7245638e-05,0.0,0.009900990099009901,7.871966583220354e-05,0.0,0.0,0.0222995272500223
C7,0.44273135880406655,0.0,4.7245638e-05,0.0,0.009900990099009901,6.983185645349828e-05,0.0,0.0,0.0222995272500223
HSPA1A,0.4426881812148697,0.0,4.7245638e-05,0.0,0.009900990099009901,0.000103784952341594,0.0,0.0,0.0222995272500223
XIST,0.4251423585183604,0.0,4.7245638e-05,0.0,0.009900990099009901,7.506234583816147e-05,0.0,0.0,0.0222995272500223
S100A6,0.40541081041495347,0.0,4.7245638e-05,0.0,0.009900990099009901,7.466865892254062e-05,0.0,0.0,0.0222995272500223
AGR2,0.36810406122190203,0.0,4.7245638e-05,0.0,0.009900990099009901,2.9950558535824988e-05,0.0,0.0,0.0222995272500223
AEBP1,0.3560276471094286,0.0,4.7245638e-05,0.0,0.009900990099009901,6.172784977809342e-05,0.0,0.0,0.0222995272500223
CHI3L1,0.3424624358795742,0.0,4.7245638e-05,0.0,0.009900990099009901,7.11649050407393e-05,0.0,0.0,0.0222995272500223
FLNA,0.33340532757784525,0.0,4.7245638e-05,0.0,0.009900990099009901,5.817576901094554e-05,0.0,0.0,0.0222995272500223
CCL19,0.3329841695084802,0.0,4.7245638e-05,0.0,0.009900990099009901,5.497041642811862e-05,0.0,0.0,0.0222995272500223
GLUL,0.32910688990229653,0.0,4.7245638e-05,0.0,0.009900990099009901,6.831519431098213e-05,0.0,0.0,0.0222995272500223
DES,0.3184726957342073,0.0,4.7245638e-05,0.0,0.009900990099009901,3.8974930142727065e-05,0.0,0.0,0.0222995272500223
APOD,0.3124457050243607,0.0,4.7245638e-05,0.0,0.009900990099009901,6.787829112001362e-05,0.0,0.0,0.0222995272500223
TXNIP,0.30692305781231033,0.0,4.7245638e-05,0.0,0.009900990099009901,6.575976623701664e-05,0.0,0.0,0.0222995272500223
TMSB10,0.2884187986412236,0.0,4.7245638e-05,0.0,0.009900990099009901,5.6367563358147916e-05,0.0,0.0,0.0222995272500223
IGFBP7,0.2714046134348766,0.0,4.7245638e-05,0.0,0.009900990099009901,5.3714463886134144e-05,0.0,0.0,0.0222995272500223
